context_id|question|answer|Type|侧重逻辑 (Rationale)
0|Which magazine was started first Arthur's Magazine or First for Women?|Arthur's Magazine|Comparative|平衡策略：用于比较两个或多个实体属性，需要结构遍历（0.50）和语义理解比较维度（0.40）。
1|The Oberoi family is part of a hotel company that has a head office in what city?|Delhi|Relational|最高结构优先级，用于多跳路径发现和实体链遍历（Family -> Company -> Head Office）。
2|"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?"|President Richard Nixon|Relational|最高结构优先级，用于多跳路径发现和实体链遍历（Song -> Character -> Named After）。
3|What nationality was James Henry Miller's wife?|American|Relational|最高结构优先级，用于多跳路径发现和实体链遍历（Person -> Wife -> Nationality）。
4|Cadmium Chloride is slightly soluble in this chemical, it is also called what?|alcohol|Retrieval|极度依赖语义理解，挖掘概念定义、抽象描述（别名/定义）。
5|Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?|Jonathan Stark|Comparative|平衡策略：用于比较两个或多个实体属性（won more），需要结构遍历和语义理解。
6|Which genus of moth in the world's seventh-largest country contains only one species?|Crambidae|Relational|最高结构优先级，用于多跳路径发现（Country Rank -> Country -> Genus）。
7|"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring."|Badr Hari|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述（反向实体查找）。
8|"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?"|2006|Relational|最高结构优先级，用于多跳路径发现（Series -> Based On -> Air Date）。
9|What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?|6.213 km long|Relational|最高结构优先级，用于多跳路径发现（Event -> Track -> Length）。
10|Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?|Jaime Meline|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述（专辑参与人员）。
11|"Gunmen from Laredo starred which narrator of ""Frontier""?"|Walter Darwin Coy|Relational|最高结构优先级，用于多跳路径发现（Narrator -> Actor -> Starred in）。
