context_id|question|answer|Type|侧重逻辑 (Rationale)
0|Which magazine was started first Arthur's Magazine or First for Women?|Arthur's Magazine|Comparative|结构与语义的平衡博弈
1|The Oberoi family is part of a hotel company that has a head office in what city?|Delhi|Reasoning|结构主导，多跳路径发现
2|"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?"|President Richard Nixon|Reasoning|结构主导，多跳路径发现
3|What nationality was James Henry Miller's wife?|American|Reasoning|结构主导，多跳路径发现
4|Cadmium Chloride is slightly soluble in this chemical, it is also called what?|alcohol|Retrieval|语义优先，兼顾实体锚点
5|Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?|Jonathan Stark|Comparative|结构与语义的平衡博弈
6|Which genus of moth in the world's seventh-largest country contains only one species?|Crambidae|Reasoning|结构主导，多跳路径发现
7|"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring."|Badr Hari|Retrieval|语义优先，兼顾实体锚点
8|"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?"|2006|Reasoning|结构主导，多跳路径发现
9|What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?|6.213 km long|Retrieval|语义优先，兼顾实体锚点
10|Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?|Jaime Meline|Retrieval|语义优先，兼顾实体锚点
11|"Gunmen from Laredo starred which narrator of ""Frontier""?"|Walter Darwin Coy|Reasoning|结构主导，多跳路径发现
12|Where did the form of music played by Die Rhöner Säuwäntzt originate?|United States|Retrieval|语义优先，兼顾实体锚点
13|In which American football game was Malcolm Smith named Most Valuable player?|Super Bowl XLVIII|Retrieval|语义优先，兼顾实体锚点
14|What U.S Highway gives access to Zilpo Road, and is also known as Midland Trail?|US 60|Retrieval|语义优先，兼顾实体锚点
15|The 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who received a star on the Hollywood Walk of Fame in what year?|2006|Reasoning|结构主导，多跳路径发现
16|What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical?|Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.|Reasoning|结构主导，多跳路径发现
17|"Human Error"" is the season finale of the third season of a tv show that aired on what network?"|Fox|Reasoning|结构主导，多跳路径发现
18|"Dua Lipa, an English singer, songwriter and model, the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?"|2017|Retrieval|语义优先，兼顾实体锚点
19|American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?|Nevada|Reasoning|结构主导，多跳路径发现
20|Which state does the drug stores, of which the CEO is Warren Bryant, are located?|Hawaii|Reasoning|结构主导，多跳路径发现
21|Which  American politician did Donahue replaced|Kelli Ward|Retrieval|语义优先，兼顾实体锚点
22|Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?|The Wolfhounds|Comparative|结构与语义的平衡博弈
23|How old is the female main protagonist of Catching Fire?|16-year-old|Reasoning|结构主导，多跳路径发现
24|Chang Ucchin was born in korea during a time that ended with the conclusion of what?|World War II|Reasoning|结构主导，多跳路径发现
25|Who is the director of the 2003 film which has scenes in it filmed at the Quality Cafe in Los Angeles?|Todd Phillips|Reasoning|结构主导，多跳路径发现
26|New Faces of 1952 is a musical revue with songs and comedy skits, it helped jump start the career of which young performer, and American actress?|Carol Lawrence|Retrieval|语义优先，兼顾实体锚点
27|Were Pavel Urysohn and Leonid Levin known for the same type of work?|no|Comparative|结构与语义的平衡博弈
28|Are both The New Pornographers and Kings of Leon American rock bands?|no|Comparative|结构与语义的平衡博弈
29|750 7th Avenue and 101 Park Avenue, are located in which city?|New York City|Comparative|结构与语义的平衡博弈
30|Which actress played the part of fictitious character Kimberly Ann Hart, in the franchise built around a live action superhero television series taking much of its footage from the Japanese tokusatsu 'Super Sentai'?|Amy Jo Johnson|Reasoning|结构主导，多跳路径发现
31|Who was born first, Pablo Trapero or Aleksander Ford?|Aleksander Ford|Comparative|结构与语义的平衡博弈
32|Are Jane and First for Women both women's magazines?|yes|Comparative|结构与语义的平衡博弈
33|What profession does Nicholas Ray and Elia Kazan have in common?|director|Comparative|结构与语义的平衡博弈
34|Where is the company that purchased Aixam based in?|Roseau, Minnesota, USA|Reasoning|结构主导，多跳路径发现
